[MAP]
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
    000000000000000000000
[BOT]
    tank=[100, 100, 0]
    tank=[150, 100, 0]
    tank=[200, 100, 0]
    tank=[250, 100, 0]
    tank=[300, 100, 0]
    tank=[350, 100, 0]
    tank=[400, 100, 0]
    tank=[450, 100, 0]
    tank=[500, 100, 0]
    tank=[550, 100, 0]
    tank=[600, 100, 0]
    tank=[650, 100, 0]
    tank=[700, 100, 0]
    tank=[750, 100, 0]
    tank=[800, 100, 0]
    tank=[850, 100, 0]
    tank=[900, 100, 0]
    tank=[950, 100, 0]

    tank=[100, 200, 0]
    tank=[150, 200, 0]
    tank=[200, 200, 0]
    tank=[250, 200, 0]
    tank=[300, 200, 0]
    tank=[350, 200, 0]
    tank=[400, 200, 0]
    tank=[450, 200, 0]
    tank=[500, 200, 0]
    tank=[550, 200, 0]
    tank=[600, 200, 0]
    tank=[650, 200, 0]
    tank=[700, 200, 0]
    tank=[750, 200, 0]
    tank=[800, 200, 0]
    tank=[850, 200, 0]
    tank=[900, 200, 0]
    tank=[950, 200, 0]


    tank=[100, 500, 2]
    tank=[150, 500, 2]
    tank=[200, 500, 2]
    tank=[250, 500, 2]
    tank=[300, 500, 2]
    tank=[350, 500, 2]
    tank=[400, 500, 2]
    tank=[450, 500, 2]
    tank=[500, 500, 2]
    tank=[550, 500, 2]
    tank=[600, 500, 2]
    tank=[650, 500, 2]
    tank=[700, 500, 2]
    tank=[750, 500, 2]
    tank=[800, 500, 2]
    tank=[850, 500, 2]
    tank=[900, 500, 2]
    tank=[950, 500, 2]

    tank=[100, 600, 2]
    tank=[150, 600, 2]
    tank=[200, 600, 2]
    tank=[250, 600, 2]
    tank=[300, 600, 2]
    tank=[350, 600, 2]
    tank=[400, 600, 2]
    tank=[450, 600, 2]
    tank=[500, 600, 2]
    tank=[550, 600, 2]
    tank=[600, 600, 2]
    tank=[650, 600, 2]
    tank=[700, 600, 2]
    tank=[750, 600, 2]
    tank=[800, 600, 2]
    tank=[850, 600, 2]
    tank=[900, 600, 2]
    tank=[950, 600, 2]
[PLA]
    tank=[425, 375, 3]
[BULLET]
[BOOM]
    BOOM=[125, 175, 0, 0]
    BOOM=[225, 175, 0, 1]
    BOOM=[325, 175, 0, 2]
    BOOM=[425, 175, 0, 3]
    BOOM=[525, 175, 0, 4]
